订单日期,商品类别,销售额,用户ID
2024-03-21,食品,4942,4
2024-05-17,电子产品,2882,84
2024-03-09,服装,4350,43
2024-08-27,图书,1956,23
2024-07-01,图书,3495,16
2024-01-08,家居,4505,4
2024-07-02,电子产品,3316,96
2024-07-13,图书,4238,32
2024-03-01,服装,3172,19
2024-10-03,食品,4749,42
2024-11-12,食品,573,90
2024-02-15,服装,2018,78
2024-08-05,食品,2346,47
2024-04-30,图书,2928,48
2024-03-01,电子产品,2105,99
2024-09-09,家居,2816,47
2024-05-06,服装,4173,87
2024-03-18,服装,414,26
2024-01-14,图书,1696,23
2024-08-25,图书,1581,18
2024-10-20,图书,1956,15
2024-07-10,电子产品,4630,28
2024-07-20,电子产品,1346,86
2024-05-05,家居,4682,17
2024-01-13,家居,1653,10
2024-03-07,电子产品,2206,18
2024-04-20,家居,4256,86
2024-02-03,电子产品,2522,6
2024-06-28,服装,1811,59
2024-11-10,食品,3862,33
2024-05-29,食品,1783,70
2024-04-21,家居,3471,75
2024-11-13,电子产品,4904,3
2024-08-30,食品,2645,24
2024-08-10,服装,517,92
2024-03-15,家居,695,94
2024-03-02,电子产品,4339,79
2024-07-21,服装,1191,68
2024-10-01,家居,274,20
2024-04-22,家居,4704,1
2024-03-30,食品,1967,11
2024-12-21,食品,2076,3
2024-06-09,服装,2089,10
2024-09-17,服装,2269,2
2024-01-13,服装,1669,65
2024-11-14,食品,2426,17
2024-09-21,图书,3008,24
2024-02-07,图书,3727,95
2024-10-31,食品,4077,50
2024-11-29,食品,425,75
2024-05-16,服装,2685,99
2024-02-04,电子产品,3441,22
2024-02-29,食品,3900,14
2024-11-11,图书,4870,37
2024-01-05,图书,127,26
2024-03-02,家居,650,42
2024-03-29,服装,2393,72
2024-10-21,图书,4720,15
2024-06-01,电子产品,1298,66
2024-11-04,图书,3160,51
2024-07-16,图书,1252,72
2024-02-11,家居,2085,94
2024-08-18,图书,469,29
2024-02-07,电子产品,1170,27
2024-10-15,家居,2695,66
2024-01-10,食品,1915,97
2024-04-27,食品,4960,100
2024-12-30,家居,3278,8
2024-09-17,食品,2421,76
2024-06-21,服装,144,36
2024-10-18,服装,1884,27
2024-03-09,家居,4156,74
2024-12-25,服装,2399,12
2024-08-05,食品,3055,82
2024-04-20,家居,2780,76
2024-12-21,家居,2985,37
2024-11-23,服装,3106,92
2024-10-13,服装,4196,29
2024-10-22,电子产品,3847,11
2024-09-13,食品,3526,90
2024-04-19,家居,1255,87
2024-11-08,电子产品,1904,54
2024-02-24,图书,2758,47
2024-11-04,电子产品,251,52
2024-11-08,食品,624,25
2024-03-30,图书,435,7
2024-07-28,图书,467,91
2024-01-17,图书,1004,51
2024-06-30,电子产品,2040,52
2024-07-16,食品,4430,63
2024-05-29,服装,2253,85
2024-02-18,电子产品,3482,49
2024-05-27,家居,1774,49
2024-11-22,电子产品,1809,13
2024-08-02,图书,1001,83
2024-11-13,食品,3426,45
2024-10-12,图书,2115,1
2024-03-18,图书,3107,66
2024-04-22,服装,3343,38
2024-11-14,家居,3385,29
2024-02-24,图书,4945,10
2024-12-31,服装,3501,97
2024-03-27,家居,1873,50
2024-12-14,电子产品,4458,67
2024-09-11,食品,377,54
2024-09-05,食品,3725,8
2024-10-17,图书,4033,68
2024-06-13,食品,872,48
2024-01-07,服装,824,33
2024-05-30,食品,4292,19
2024-02-05,食品,4227,2
2024-10-29,食品,3644,2
2024-07-13,家居,1605,5
2024-10-19,电子产品,3627,86
2024-12-29,电子产品,2811,30
2024-04-29,图书,4273,96
2024-07-27,服装,3236,81
2024-01-14,电子产品,2649,66
2024-08-24,电子产品,3480,73
2024-09-02,图书,2591,4
2024-06-02,服装,2126,98
2024-08-02,食品,124,70
2024-05-25,食品,2139,100
2024-02-10,服装,4733,87
2024-04-26,服装,391,85
2024-01-27,电子产品,695,91
2024-06-16,服装,504,10
2024-06-21,电子产品,3019,85
2024-07-08,服装,3679,64
2024-05-09,家居,1436,65
2024-11-02,食品,3413,26
2024-01-29,食品,3900,40
2024-01-11,家居,1186,59
2024-10-21,图书,1383,98
2024-02-24,食品,1835,36
2024-08-26,家居,1812,81
2024-12-30,图书,531,73
2024-06-02,服装,1574,73
2024-07-19,电子产品,1290,61
2024-04-13,服装,4170,39
2024-10-17,图书,3619,44
2024-04-11,服装,2372,44
2024-10-31,食品,379,57
2024-11-06,电子产品,4157,62
2024-03-20,图书,4112,21
2024-03-21,食品,2471,80
2024-07-16,电子产品,3776,59
2024-12-30,服装,96,32
2024-09-22,电子产品,4040,26
2024-03-26,服装,440,14
2024-11-30,食品,4282,48
2024-11-23,服装,876,87
2024-03-22,家居,984,99
2024-04-12,电子产品,1232,24
2024-04-17,家居,180,37
2024-06-19,服装,4328,87
2024-12-29,电子产品,3637,93
2024-07-28,电子产品,4161,42
2024-04-17,服装,360,99
2024-06-18,服装,2511,13
2024-05-20,服装,3860,39
2024-10-28,家居,4174,62
2024-11-13,食品,4893,57
2024-09-28,家居,1312,10
2024-12-24,家居,4534,65
2024-06-25,图书,3550,14
2024-06-06,服装,195,62
2024-10-19,电子产品,481,65
2024-03-13,电子产品,1013,12
2024-07-05,服装,1878,61
2024-07-16,图书,1918,98
2024-06-01,家居,4917,59
2024-03-12,家居,934,74
2024-04-16,服装,874,90
2024-08-28,服装,3895,5
2024-09-17,电子产品,3220,20
2024-08-28,食品,1964,35
2024-06-26,服装,2159,17
2024-08-03,图书,4305,99
2024-09-25,食品,2080,89
2024-11-24,家居,1983,98
2024-09-23,电子产品,2732,92
2024-01-29,电子产品,1268,25
2024-08-13,家居,4315,9
2024-02-09,电子产品,1468,59
2024-08-13,家居,1024,38
2024-11-23,图书,4022,48
2024-03-30,服装,4599,37
2024-11-11,食品,845,69
2024-03-21,服装,3161,45
2024-08-11,食品,2212,58
2024-11-18,服装,3980,77
2024-08-24,电子产品,1335,88
2024-05-26,家居,1754,13
2024-12-28,食品,1766,42
2024-12-21,图书,2519,60
2024-01-07,食品,606,58
2024-09-05,图书,4571,10
2024-06-08,图书,3558,30
2024-02-08,服装,2453,2
2024-07-24,食品,2062,12
2024-10-21,服装,3167,27
2024-04-22,电子产品,2114,95
2024-12-19,家居,4593,88
2024-12-30,图书,1057,70
2024-03-14,电子产品,1297,98
2024-11-14,家居,621,79
2024-08-09,食品,327,68
2024-12-17,家居,1315,68
2024-08-06,电子产品,967,17
2024-07-11,服装,3241,82
2024-11-01,食品,4861,36
2024-09-07,图书,2478,76
2024-01-07,食品,956,33
2024-05-13,图书,2556,58
2024-01-26,服装,1503,98
2024-10-11,家居,88,15
2024-10-11,食品,1148,32
2024-05-09,家居,3143,75
2024-01-27,图书,2946,56
2024-04-01,食品,4166,47
2024-12-22,图书,4229,6
2024-05-26,电子产品,4715,38
2024-01-15,服装,2030,35
2024-11-15,电子产品,842,24
2024-01-12,服装,2305,27
2024-03-12,家居,1034,17
2024-04-02,食品,569,79
2024-01-27,服装,4494,64
2024-06-29,家居,4523,3
2024-02-15,电子产品,2303,71
2024-09-29,家居,1925,100
2024-01-09,电子产品,166,2
2024-12-09,图书,3838,81
2024-03-12,食品,323,94
2024-11-15,服装,1439,95
2024-06-14,图书,778,33
2024-04-11,电子产品,828,86
2024-06-27,电子产品,2498,76
2024-02-15,家居,2770,74
2024-08-29,家居,51,97
2024-10-15,电子产品,4094,30
2024-03-17,家居,967,66
2024-06-14,服装,1759,15
2024-04-15,家居,1945,75
2024-11-12,图书,684,6
2024-01-09,电子产品,2320,32
2024-02-10,服装,765,8
2024-11-23,服装,3439,84
2024-11-13,图书,2480,7
2024-03-24,家居,3511,58
2024-01-22,服装,944,3
2024-05-06,电子产品,4159,75
2024-01-12,家居,3006,25
2024-10-27,图书,2219,19
2024-02-24,家居,4830,8
2024-08-08,食品,4840,32
2024-11-02,家居,3715,70
2024-07-29,食品,361,59
2024-05-10,家居,804,35
2024-04-02,电子产品,952,76
2024-10-31,食品,208,58
2024-01-24,家居,4661,92
2024-12-29,家居,1005,24
2024-02-19,电子产品,4753,36
2024-09-06,食品,3861,66
2024-11-30,服装,3029,6
2024-10-21,服装,4900,58
2024-09-02,食品,3764,18
2024-02-09,食品,3008,97
2024-12-20,服装,3641,100
2024-08-27,服装,989,14
2024-11-29,服装,424,37
2024-11-20,食品,4698,62
2024-11-11,食品,1696,14
2024-08-18,电子产品,3205,2
2024-08-18,电子产品,2988,89
2024-01-28,服装,1302,5
2024-06-12,食品,3424,31
2024-01-10,图书,679,14
2024-03-20,服装,2941,94
2024-12-26,电子产品,2410,64
2024-10-10,电子产品,3228,37
2024-06-23,食品,2262,49
2024-04-29,家居,2253,79
2024-04-17,图书,1006,20
2024-11-29,服装,1018,37
2024-01-20,服装,2894,1
2024-04-28,图书,4343,59
2024-11-20,电子产品,1058,51
2024-07-24,家居,4635,20
2024-06-29,服装,1289,43
2024-05-05,服装,4362,50
2024-10-11,电子产品,3299,23
2024-10-20,家居,4453,80
2024-08-21,家居,4520,8
2024-12-06,电子产品,1064,8
2024-06-05,食品,1568,86
2024-06-23,服装,2524,74
2024-04-23,服装,3769,47
2024-08-19,电子产品,4733,91
2024-11-23,电子产品,4959,68
2024-10-15,电子产品,3174,48
2024-03-09,电子产品,3723,62
2024-08-07,服装,753,70
2024-03-03,电子产品,3282,41
2024-03-29,食品,2682,77
2024-06-07,电子产品,1397,98
2024-04-11,家居,1687,19
2024-03-22,食品,1050,23
